City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,khairpur,27.5295,68.7617,30.94,27,0,2.13,PK,1730433140
1,namibe,-15.1961,12.1522,16.87,84,96,1.81,AO,1730433142
2,port-aux-francais,-49.35,70.2167,4.09,84,100,11.52,TF,1730433143
3,edinburgh of the seven seas,-37.0676,-12.3116,13.91,87,62,9.39,SH,1730433144
4,sao gabriel da cachoeira,-0.1303,-67.0892,25.09,70,61,1.13,BR,1730433145
5,maceio,-9.6658,-35.7353,23.69,94,20,2.06,BR,1730433146
6,regina,50.4501,-104.6178,5.58,60,100,6.17,CA,1730432932
7,puerto baquerizo moreno,-0.9,-89.6,20.63,80,89,6.12,EC,1730433149
8,thompson,55.7435,-97.8558,-10.91,73,20,0.0,CA,1730433150
9,papao,-17.75,-149.55,25.82,77,43,7.53,PF,1730433152
10,arawa,-6.2132,155.5367,28.97,80,97,0.44,PG,1730433153
11,porto novo,6.4965,2.6036,25.9,92,24,1.69,BJ,1730433154
12,margaret river,-33.95,115.0667,18.97,70,100,4.26,AU,1730433155
13,puerto natales,-51.7236,-72.4875,8.89,89,100,0.98,CL,1730433156
14,port lincoln,-34.7333,135.8667,16.23,58,16,4.93,AU,1730433157
15,pleszew,51.8964,17.7855,9.01,88,34,6.9,PL,1730433158
16,degerfors,59.238,14.4308,13.77,70,100,9.43,SE,1730433160
17,talnakh,69.4865,88.3972,-8.32,94,100,5.2,RU,1730433161
18,benjamin aceval,-24.9667,-57.5667,24.0,95,100,3.19,PY,1730433162
19,waitangi,-43.9535,-176.5597,15.46,82,16,2.68,NZ,1730433163
20,adamstown,-25.066,-130.1015,20.7,85,100,12.42,PN,1730433164
21,geraldton,-28.7667,114.6,26.23,61,9,5.14,AU,1730433165
22,invercargill,-46.4,168.35,10.57,77,100,2.68,NZ,1730433166
23,bethel,41.3712,-73.414,21.3,73,98,0.89,US,1730433168
24,yellowknife,62.456,-114.3525,-4.71,100,100,7.2,CA,1730433169
25,nizhnevartovsk,60.9344,76.5531,-1.99,86,100,5.0,RU,1730433172
26,kodiak,57.79,-152.4072,3.73,81,75,3.6,US,1730432937
27,rouissat,31.9243,5.3502,19.04,72,84,1.54,DZ,1730433174
28,blackmans bay,-43.0167,147.3167,14.74,51,99,1.79,AU,1730433175
29,alta,69.9689,23.2717,-5.41,84,94,12.96,NO,1730433178
30,klaksvik,62.2266,-6.589,3.91,73,84,14.44,FO,1730433179
31,mahavelona,-17.6848,49.5087,23.84,85,100,0.65,MG,1730433180
32,lorengau,-2.0226,147.2712,29.45,67,96,0.46,PG,1730433181
33,ta`u,-14.2336,-169.5144,27.41,79,100,3.25,AS,1730433182
